actual,pred_prob
1,0.9999914148580966
1,0.9998493327524548
1,0.9998398060647474
0,0.9998240616341939
1,0.9998096348162231
1,0.9998014471800547
1,0.9997828668243081
1,0.9996260842760284
0,0.9995366784872756
1,0.9994484288412092
0,0.999368603006716
1,0.999350192970718
1,0.9992858643565862
1,0.999143607466955
1,0.9989688264596519
1,0.9989670667006599
1,0.9989588143946252
1,0.9988764776894044
0,0.9987373667500528
1,0.9985942489899508
1,0.9984446103928606
1,0.9984384951985632
0,0.9983814415379322
1,0.9983720318971171
0,0.9980937703678503
1,0.9980527000522798
0,0.997950766883152
1,0.9977204647489722
1,0.9976994880267095
0,0.9975647907637063
1,0.9975409542936036
1,0.9974972198099384
0,0.9973799064409477
1,0.9973308463352215
1,0.9972006703127007
1,0.9971771594706756
0,0.9970246705137059
0,0.9970192703479626
1,0.9969187819799673
1,0.9968875176340241
1,0.9968011046851821
1,0.9967177958646549
0,0.9967012608192897
1,0.9966692792892599
1,0.9964837551274637
1,0.9964120158414594
1,0.9963935245288296
1,0.9963855760247547
0,0.9963354230207774
1,0.996239164152719
1,0.9961757407791991
1,0.9958366770388694
1,0.9957702767296556
1,0.9955894484395688
1,0.9954571246563892
1,0.995331258706046
1,0.9952909584265417
1,0.9949566121120047
1,0.9947494868945597
1,0.9945729596576021
0,0.9944097899935038
1,0.9943910696975127
1,0.9943229251092357
1,0.994316679404478
0,0.9940999482935579
0,0.993986529296389
1,0.9938535585750027
1,0.9936694100825617
1,0.9935908087723463
1,0.9935765330203457
1,0.9934513316230156
1,0.9934120440771214
1,0.9931786386067787
1,0.9929742913190117
1,0.9929424455668164
1,0.9928524523579453
1,0.9927887861238687
0,0.9927572373471326
1,0.992704206807839
0,0.9926663270484934
1,0.992656615771458
1,0.9926127982003706
1,0.992419750458007
0,0.9924018012547793
1,0.9923833608476654
1,0.9923758737876968
1,0.9921735726858244
1,0.9919524606865756
1,0.991920931533243
1,0.9918837326969083
0,0.9918070064530202
1,0.9917528527301307
1,0.9915575810486892
1,0.9914317213811652
0,0.9913139422108873
1,0.9912285307444292
1,0.9911845645904894
1,0.9911753961750679
1,0.9911596567277281
1,0.9911484175408249
1,0.9911469356954465
1,0.9911340041960834
1,0.9911064729426966
1,0.9910869495734698
1,0.9907850912409374
1,0.9907145607390027
1,0.9906314122024737
1,0.9905399888379695
0,0.9903658031467362
0,0.9903403772800606
1,0.9903363713610159
1,0.9902732078422957
1,0.9902418546534607
1,0.9902414361637719
1,0.9901366773499197
1,0.9900505683545988
1,0.9898544676156489
1,0.9897645801374826
1,0.9897224647116747
1,0.9897096632394142
1,0.9896788700390553
1,0.9896736986254602
1,0.9896147816499576
0,0.989563827297547
1,0.9894749270270553
1,0.9893357206840424
1,0.9891214239259902
1,0.9890700366067846
1,0.9890155576073222
0,0.9887602478591042
0,0.9887591180503363
1,0.988683297956282
1,0.9886784791802865
1,0.9883027274901925
1,0.9882693710581647
1,0.9879300183990931
1,0.9877017608606694
1,0.9876645152543978
1,0.9874663470492491
1,0.9873002518092362
1,0.987153337987265
1,0.987078137339135
1,0.9870222809859324
0,0.9869341959091588
1,0.9869172530989521
1,0.9868535808044814
0,0.9868505648069434
1,0.9868099119264752
1,0.9866224098410326
